"region"	"Persons 2022 0-5 years"	"Persons 2022 6-15 years"	"Persons 2022 16-19 years"	"Persons 2022 20-24 years"	"Persons 2022 25-29 years"	"Persons 2022 30-49 years"	"Persons 2022 50-59 years"	"Persons 2022 60-66 years"	"Persons 2022 67-69 years"	"Persons 2022 70-79 years"	"Persons 2022 80 years or older"
"03010101 Sentrum 1 /rode 1"	0	0	0	0	0	0	0	0	0	0	0
"03010102 Sentrum 1 /rode 2"	9	8	4	37	62	140	24	7	3	3	0
"03010103 Sentrum 1 /rode 3"	0	0	0	3	14	13	0	0	0	0	0
"03010104 Sentrum 1 /rode 4"	6	3	9	150	155	138	23	5	0	7	0
"03010105 Sentrum 1 /rode 5"	10	8	4	67	128	232	51	17	3	9	3
"03010201 Sentrum 2 /rode 1"	7	6	7	94	126	152	21	9	0	3	0
"03010202 Sentrum 2 /rode 2"	4	7	9	98	141	206	31	12	3	13	3
"03010203 Sentrum 2 /rode 3"	0	0	0	0	0	0	0	0	0	0	0
"03010204 Sentrum 2 /rode 4"	38	32	13	61	169	305	63	24	13	25	8
"03010205 Sentrum 2 /rode 5"	0	6	3	18	14	38	9	3	0	0	0
"03010206 Sentrum 2 /rode 6"	33	16	17	128	280	418	77	29	3	16	8
"03010207 Sentrum 2 /rode 7"	28	23	18	94	196	354	81	43	3	14	3
"03010208 Sentrum 2 /rode 8"	34	29	9	124	255	472	111	54	16	21	8
"03010209 Sentrum 2 /rode 9"	43	35	21	155	256	498	106	26	8	14	3
"03010210 Sentrum 2 /rode 10"	66	31	33	378	475	630	83	31	7	10	3
"03010211 Sentrum 2 /rode 11"	0	0	0	10	13	30	3	0	0	0	0
"03010212 Sentrum 2 /rode 12"	89	75	20	228	448	682	176	106	39	111	45
"03010213 Sentrum 2 /rode 13"	74	50	23	158	260	509	81	32	16	38	8
"03010301 Sentrum 3 /rode 1"	45	62	34	108	245	402	127	83	22	46	14
"03010302 Sentrum 3 /rode 2"	53	78	41	155	363	606	132	58	19	42	15
"03010303 Sentrum 3 /rode 3"	34	32	16	70	133	261	80	16	10	21	9
"03010304 Sentrum 3 /rode 4"	21	18	12	12	23	128	103	63	29	81	27
"03010305 Sentrum 3 /rode 5"	0	3	0	0	0	0	0	0	0	0	0
"03010306 Sentrum 3 /rode 6"	0	0	0	0	0	3	0	0	0	0	0
"03010307 Sentrum 3 /rode 7"	3	0	12	48	36	42	6	5	3	5	0
"03010308 Sentrum 3 /rode 8"	17	36	14	158	202	236	49	26	12	14	14
"03010309 Sentrum 3 /rode 9"	3	0	0	0	0	0	0	3	0	0	3
"03010310 Sentrum 3 /rode 10"	0	0	0	0	0	0	0	0	0	0	0
"03010401 Filipstad"	36	23	14	58	109	355	202	114	35	98	23
"03010501 Skillebekk rode 1"	63	95	23	145	212	483	198	103	30	122	38
"03010502 Skillebekk rode 2"	37	58	26	61	91	251	138	98	38	157	90
"03010503 Skillebekk rode 3"	36	52	30	126	210	377	137	56	23	66	45
"03010504 Skillebekk rode 4"	71	97	47	130	245	516	210	126	50	128	49
"03010601 Frogner rode 1"	68	69	31	126	147	391	144	98	28	96	54
"03010602 Frogner rode 2"	42	33	21	46	71	173	93	55	25	89	40
"03010603 Frogner rode 3"	86	61	22	63	108	348	157	114	45	178	84
"03010604 Frogner rode 4"	31	43	9	32	91	220	119	88	30	81	56
"03010605 Frogner rode 5"	26	30	21	139	234	331	105	53	17	56	22
"03010606 Frogner rode 6"	61	62	36	65	144	366	159	104	31	122	57
"03010607 Frogner rode 7"	56	52	24	137	226	372	140	72	15	60	10
"03010608 Frogner rode 8"	51	49	38	82	143	314	155	91	22	91	43
"03010609 Frogner rode 9"	37	31	15	33	49	172	94	86	37	111	85
"03010610 Frogner rode 10"	38	30	18	85	244	418	111	69	26	63	24
"03010611 Frogner rode 11"	52	65	48	67	129	320	136	64	27	103	17
"03010612 Frogner rode 12"	53	76	26	37	80	245	148	95	54	126	60
"03010613 Frogner rode 13"	49	110	26	86	147	372	151	122	43	179	102
"03010614 Frogner rode 14"	0	0	0	0	0	0	0	0	0	0	0
"03010701 Uranienborg rode 1"	34	71	28	66	139	264	116	68	26	55	26
"03010702 Uranienborg rode 2"	37	79	27	86	197	318	136	79	25	79	56
"03010703 Uranienborg rode 3"	33	64	21	66	102	222	109	54	13	59	16
"03010704 Uranienborg rode 4"	33	57	36	96	126	271	144	68	22	61	29
"03010705 Uranienborg rode 5"	30	34	17	77	103	236	73	29	9	27	17
"03010706 Uranienborg rode 6"	14	35	16	30	35	108	55	33	7	24	6
"03010707 Uranienborg rode 7"	42	58	29	43	78	213	95	34	8	49	11
"03010708 Uranienborg rode 8"	13	16	8	52	89	95	45	17	8	17	4
"03010709 Uranienborg rode 9"	19	41	22	49	70	211	91	30	15	54	19
"03010710 Uranienborg rode 10"	6	6	0	9	13	26	3	0	0	3	0
"03010801 Homansbyen rode 1"	31	55	23	112	158	303	133	54	24	54	31
"03010802 Homansbyen rode 2"	34	33	25	99	208	322	92	38	21	35	13
"03010803 Homansbyen rode 3"	44	65	23	74	178	365	120	60	33	100	53
"03010804 Homansbyen rode 4"	35	22	19	145	295	363	81	37	11	24	7
"03010805 Homansbyen rode 5"	29	31	18	145	338	387	92	54	7	36	20
"03010806 Homansbyen rode 6"	60	49	16	150	281	522	125	90	34	100	67
"03010807 Homansbyen rode 7"	21	17	9	88	107	173	47	19	7	18	6
"03010808 Homansbyen rode 8"	47	42	19	147	316	447	119	55	20	59	29
"03010809 Homansbyen rode 9"	59	72	36	205	268	404	92	43	19	44	22
"03010901 Majorstuen rode 1"	36	48	23	100	179	337	139	56	19	87	95
"03010902 Majorstuen rode 2"	37	38	19	65	108	273	82	39	13	48	22
"03010903 Majorstuen rode 3"	15	42	19	106	190	346	112	62	27	56	28
"03010904 Majorstuen rode 4"	29	48	29	125	178	270	81	43	11	31	6
"03010905 Majorstuen rode 5"	36	53	22	109	143	276	113	62	21	73	32
"03010906 Majorstuen rode 6"	30	28	19	145	260	350	87	38	21	44	30
"03010907 Majorstuen rode 7"	60	59	34	139	171	362	149	57	31	69	33
"03010908 Majorstuen rode 8"	40	41	23	90	208	326	85	45	20	72	39
"03010909 Majorstuen rode 9"	81	66	32	167	321	540	160	92	35	136	95
"03010910 Majorstuen rode 10"	41	66	26	113	144	278	104	70	32	154	74
"03010911 Majorstuen rode 11"	80	113	28	82	153	401	129	98	25	142	68
"03010912 Majorstuen rode 12"	57	52	23	81	184	364	119	69	31	57	21
"03010913 Majorstuen rode 13"	45	34	23	114	228	334	113	48	14	36	13
"03011001 Marienlyst"	57	109	27	181	216	411	98	74	33	98	54
